source,error_type,entity_text,entity_type,start,end,gold_assertions,pred_assertions,gold_candidates,pred_candidates,detail
e2e:symp_00036,missed_entity,đi cầu khó,TRIỆU_CHỨNG,6,16,,,,,gold entity not in predictions
e2e:symp_00038,missed_entity,chóng mặt,TRIỆU_CHỨNG,13,22,,,,,gold entity not in predictions
e2e:neg_00082,missed_entity,nuốt đau,TRIỆU_CHỨNG,11,19,isNegated,,,,gold entity not in predictions
e2e:neg_00085,missed_entity,bầm tím,TRIỆU_CHỨNG,16,23,isNegated,,,,gold entity not in predictions
e2e:neg_00086,missed_entity,sốt nhẹ,TRIỆU_CHỨNG,14,21,isNegated,,,,gold entity not in predictions
e2e:neg_00087,missed_entity,vàng mắt,TRIỆU_CHỨNG,19,27,isNegated,,,,gold entity not in predictions
e2e:neg_00089,missed_entity,ý whơi,TRIỆU_CHỨNG,11,17,isNegated,,,,gold entity not in predictions
e2e:multi_00116,missed_entity,ho đờm xanh,TRIỆU_CHỨNG,3,14,,,,,gold entity not in predictions
e2e:multi_00116,missed_entity,sốt cao,TRIỆU_CHỨNG,16,23,,,,,gold entity not in predictions
e2e:multi_00116,false_positive,ho đờm,TRIỆU_CHỨNG,3,9,,,,,prediction with no gold match
e2e:drug_00043,missed_entity,ciprofloxacin,THUỐC,7,20,,,2556,,gold entity not in predictions
e2e:drug_00043,false_positive,Kê đơn ciprofloxaci,THUỐC,0,19,,,,2556|314076|197361|7646|83367,prediction with no gold match
e2e:lab_00061,missed_entity,Hemoglobin: 95 g/L,KẾT_QUẢ_XÉT_NGHIỆM,3,21,,,,,gold entity not in predictions
e2e:lab_00062,missed_entity,LDL 165 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,0,13,,,,,gold entity not in predictions
e2e:lab_00062,false_positive,165 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,4,13,,,,,prediction with no gold match
e2e:lab_00062,false_positive,LDL,TÊN_XÉT_NGHIỆM,0,3,,,,,prediction with no gold match
e2e:lab_00064,missed_entity,AST: 72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,3,14,,,,,gold entity not in predictions
e2e:lab_00064,false_positive,72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,8,14,,,,,prediction with no gold match
e2e:lab_00064,false_positive,AST,TÊN_XÉT_NGHIỆM,3,6,,,,,prediction with no gold match
e2e:lab_00066,missed_entity,Hematocrit 32%,KẾT_QUẢ_XÉT_NGHIỆM,5,19,,,,,gold entity not in predictions
e2e:lab_00067,missed_entity,AST 72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,5,15,,,,,gold entity not in predictions
e2e:lab_00067,false_positive,AST,TÊN_XÉT_NGHIỆM,5,8,,,,,prediction with no gold match
e2e:lab_00067,false_positive,72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,9,15,,,,,prediction with no gold match
e2e:lab_00069,missed_entity,Cholesterol 245 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,12,33,,,,,gold entity not in predictions
e2e:lab_00069,false_positive,Cholesterol 245 mg,THUỐC,12,30,,,,855332|198211|8640|6809|617312,prediction with no gold match
e2e:lab_00070,missed_entity,Creatinine 1.5 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,0,20,,,,,gold entity not in predictions
e2e:lab_00070,false_positive,Creatinine 1.5 mg,THUỐC,0,17,,,,32937|316672|861007|6809|314076,prediction with no gold match
e2e:lab_00071,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,0,12,,,,,gold entity not in predictions
e2e:lab_00071,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,4,12,,,,,prediction with no gold match
e2e:lab_00071,false_positive,WBC,TÊN_XÉT_NGHIỆM,0,3,,,,,prediction with no gold match
e2e:lab_00073,missed_entity,Creatinine: 1.5 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,3,24,,,,,gold entity not in predictions
e2e:lab_00073,false_positive,1.5 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,15,24,,,,,prediction with no gold match
e2e:lab_00076,missed_entity,K+ 5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,5,18,,,,,gold entity not in predictions
e2e:lab_00076,false_positive,K,TÊN_XÉT_NGHIỆM,5,6,,,,,prediction with no gold match
e2e:lab_00076,false_positive,5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,8,18,,,,,prediction with no gold match
e2e:lab_00077,missed_entity,BUN: 25 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,3,16,,,,,gold entity not in predictions
e2e:lab_00077,false_positive,BUN,TÊN_XÉT_NGHIỆM,3,6,,,,,prediction with no gold match
e2e:lab_00077,false_positive,25 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,8,16,,,,,prediction with no gold match
e2e:lab_00078,missed_entity,HDL: 35 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,8,21,,,,,gold entity not in predictions
e2e:lab_00078,false_positive,HDL,TÊN_XÉT_NGHIỆM,8,11,,,,,prediction with no gold match
e2e:lab_00078,false_positive,35 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,13,21,,,,,prediction with no gold match
e2e:lab_00079,missed_entity,K+: 5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,8,22,,,,,gold entity not in predictions
e2e:lab_00079,false_positive,K,TÊN_XÉT_NGHIỆM,8,9,,,,,prediction with no gold match
e2e:lab_00079,false_positive,5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,12,22,,,,,prediction with no gold match
e2e:multi_00112,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,0,12,,,,,gold entity not in predictions
e2e:multi_00112,missed_entity,CRP 85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,14,25,,,,,gold entity not in predictions
e2e:multi_00112,false_positive,WBC,TÊN_XÉT_NGHIỆM,0,3,,,,,prediction with no gold match
e2e:multi_00112,false_positive,85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,18,25,,,,,prediction with no gold match
e2e:multi_00112,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,4,12,,,,,prediction with no gold match
e2e:multi_00112,false_positive,CRP,TÊN_XÉT_NGHIỆM,14,17,,,,,prediction with no gold match
e2e:multi_00115,missed_entity,Glucose 126 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,12,29,,,,,gold entity not in predictions
e2e:multi_00115,missed_entity,Cholesterol 245 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,31,52,,,,,gold entity not in predictions
e2e:multi_00115,false_positive,Glucose 126 mg,THUỐC,12,26,,,,198211|316672|317541|1191|860975,prediction with no gold match
e2e:multi_00115,false_positive,Cholesterol 245 mg,THUỐC,31,49,,,,855332|198211|8640|6809|617312,prediction with no gold match
e2e:hist_00097,wrong_assertion,viêm bàng quang,CHẨN_ĐOÁN,6,21,isHistorical,,,,assertion mismatch
e2e:fam_00105,wrong_assertion,viêm dạ dày,CHẨN_ĐOÁN,25,36,isFamily,isHistorical|isFamily,,,assertion mismatch
e2e:fam_00107,wrong_assertion,viêm phổi mắc phải,CHẨN_ĐOÁN,25,43,isFamily,isHistorical|isFamily,,,assertion mismatch
e2e:symp_00033,missed_entity,nuốt khó,TRIỆU_CHỨNG,13,21,,,,,gold entity not in predictions
e2e:neg_00081,missed_entity,ho,TRIỆU_CHỨNG,14,16,isNegated,,,,gold entity not in predictions
e2e:neg_00090,missed_entity,thở nhanh,TRIỆU_CHỨNG,14,23,isNegated,,,,gold entity not in predictions
e2e:lab_00063,missed_entity,ESR: 45 mm/h,KẾT_QUẢ_XÉT_NGHIỆM,3,15,,,,,gold entity not in predictions
e2e:lab_00063,false_positive,45 ,KẾT_QUẢ_XÉT_NGHIỆM,8,11,,,,,prediction with no gold match
e2e:lab_00063,false_positive,ESR,TÊN_XÉT_NGHIỆM,3,6,,,,,prediction with no gold match
e2e:lab_00065,missed_entity,WBC: 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,3,16,,,,,gold entity not in predictions
e2e:lab_00065,false_positive,WBC,TÊN_XÉT_NGHIỆM,3,6,,,,,prediction with no gold match
e2e:lab_00065,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,8,16,,,,,prediction with no gold match
e2e:lab_00068,missed_entity,Triglyceride 180 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,5,27,,,,,gold entity not in predictions
e2e:lab_00068,false_positive,Triglyceride 180 mg,THUỐC,5,24,,,,617312|855332|161|317541|8640,prediction with no gold match
val:val_0001,missed_entity,ho,TRIỆU_CHỨNG,16,18,isNegated,,,,gold entity not in predictions
val:val_0001,missed_entity,sốt,TRIỆU_CHỨNG,26,29,isNegated,,,,gold entity not in predictions
val:val_0003,missed_entity,Da vàng,TRIỆU_CHỨNG,0,7,,,,,gold entity not in predictions
val:val_0004,missed_entity,đau ngực,TRIỆU_CHỨNG,15,23,isNegated,,,,gold entity not in predictions
val:val_0004,false_positive,đau ngực,CHẨN_ĐOÁN,15,23,,isNegated,,I21.9|I25.10|M54.5|M79.3|K58.9,prediction with no gold match
val:val_0004,wrong_type,đau ngực,pred=CHẨN_ĐOÁN gold=TRIỆU_CHỨNG,15,23,isNegated,isNegated,,,type mismatch at same span
val:val_0008,missed_entity,sốt cao,TRIỆU_CHỨNG,3,10,,,,,gold entity not in predictions
val:val_0009,missed_entity,thở nhanh,TRIỆU_CHỨNG,24,33,,,,,gold entity not in predictions
val:val_0009,missed_entity,khó thở,TRIỆU_CHỨNG,15,22,,,,,gold entity not in predictions
val:val_0010,missed_entity,ran,TRIỆU_CHỨNG,17,20,isNegated,,,,gold entity not in predictions
val:val_0012,missed_entity,mệt,TRIỆU_CHỨNG,10,13,,,,,gold entity not in predictions
val:val_0013,missed_entity,ho,TRIỆU_CHỨNG,3,5,,,,,gold entity not in predictions
val:val_0014,missed_entity,mệt mỏi,TRIỆU_CHỨNG,20,27,,,,,gold entity not in predictions
val:val_0014,missed_entity,sốt cao,TRIỆU_CHỨNG,11,18,,,,,gold entity not in predictions
val:val_0016,missed_entity,gan to,TRIỆU_CHỨNG,13,19,,,,,gold entity not in predictions
val:val_0016,missed_entity,chướng,TRIỆU_CHỨNG,5,11,,,,,gold entity not in predictions
val:val_0017,missed_entity,buồn nôn,TRIỆU_CHỨNG,30,38,,,,,gold entity not in predictions
val:val_0017,missed_entity,chóng mặt,TRIỆU_CHỨNG,19,28,,,,,gold entity not in predictions
val:val_0019,missed_entity,Wilson disease,CHẨN_ĐOÁN,11,25,,,,,gold entity not in predictions
val:val_0021,false_positive,viêm ruột,TRIỆU_CHỨNG,10,19,,,,,prediction with no gold match
val:val_0021,false_positive,viêm phúc mạc,TRIỆU_CHỨNG,30,43,,,,,prediction with no gold match
val:val_0024,missed_entity,suy tim độ A,CHẨN_ĐOÁN,22,34,,,,,gold entity not in predictions
val:val_0024,false_positive,suy tim,CHẨN_ĐOÁN,22,29,,,,I50.9|I21.9|I48.9|E03.9|I25.10,prediction with no gold match
val:val_0028,missed_entity,bệnh Pompe,CHẨN_ĐOÁN,10,20,,,,,gold entity not in predictions
val:val_0030,missed_entity,bệnh Fabry,CHẨN_ĐOÁN,9,19,,,,,gold entity not in predictions
val:val_0037,missed_entity,bệnh mạch vành,CHẨN_ĐOÁN,20,34,isNegated,,,,gold entity not in predictions
val:val_0038,missed_entity,ung thư vú,CHẨN_ĐOÁN,14,24,isFamily,,,,gold entity not in predictions
val:val_0038,false_positive,ung thư,TRIỆU_CHỨNG,14,21,,isFamily,,,prediction with no gold match
val:val_0050,false_positive,dị ứng,TRIỆU_CHỨNG,3,9,,isFamily,,,prediction with no gold match
val:val_0056,false_positive,viêm khớp,CHẨN_ĐOÁN,12,21,,,,M06.9|K29.9|J06.9|J18.9|A09,prediction with no gold match
val:val_0059,missed_entity,Glucose 126 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,9,26,,,,,gold entity not in predictions
val:val_0059,false_positive,Glucose 126 mg,THUỐC,9,23,,,,198211|316672|317541|1191|860975,prediction with no gold match
val:val_0060,missed_entity,Glucose: 126 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,0,18,,,,,gold entity not in predictions
val:val_0060,false_positive,126 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,9,18,,,,,prediction with no gold match
val:val_0060,false_positive,Glucose,TÊN_XÉT_NGHIỆM,0,7,,,,,prediction with no gold match
val:val_0061,false_positive,RBC,TÊN_XÉT_NGHIỆM,44,47,,,,,prediction with no gold match
val:val_0061,false_positive,WBC,TÊN_XÉT_NGHIỆM,39,42,,,,,prediction with no gold match
val:val_0061,false_positive,Glucose,TÊN_XÉT_NGHIỆM,49,56,,,,,prediction with no gold match
val:val_0062,missed_entity,Glucose 126 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,12,29,,,,,gold entity not in predictions
val:val_0062,missed_entity,Triglyceride 180 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,54,76,,,,,gold entity not in predictions
val:val_0062,missed_entity,Cholesterol 245 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,31,52,,,,,gold entity not in predictions
val:val_0062,false_positive,Glucose 126 mg,THUỐC,12,26,,,,198211|316672|317541|1191|860975,prediction with no gold match
val:val_0062,false_positive,Cholesterol 245 mg,THUỐC,31,49,,,,855332|198211|8640|6809|617312,prediction with no gold match
val:val_0062,false_positive,Triglyceride 180 mg,THUỐC,54,73,,,,617312|855332|161|317541|8640,prediction with no gold match
val:val_0064,missed_entity,CRP 85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,26,37,,,,,gold entity not in predictions
val:val_0064,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,12,24,,,,,gold entity not in predictions
val:val_0064,false_positive,WBC,TÊN_XÉT_NGHIỆM,12,15,,,,,prediction with no gold match
val:val_0064,false_positive,CRP,TÊN_XÉT_NGHIỆM,26,29,,,,,prediction with no gold match
val:val_0064,false_positive,85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,30,37,,,,,prediction with no gold match
val:val_0064,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,16,24,,,,,prediction with no gold match
val:val_0066,missed_entity,Hemoglobin 95 g/L,KẾT_QUẢ_XÉT_NGHIỆM,0,17,,,,,gold entity not in predictions
val:val_0066,false_positive,Hemoglobin 95 g,THUỐC,0,15,,,,32937|8640|723|6809|860975,prediction with no gold match
val:val_0069,missed_entity,Creatinine 1.5 mg/dL,KẾT_QUẢ_XÉT_NGHIỆM,0,20,,,,,gold entity not in predictions
val:val_0069,false_positive,Creatinine 1.5 mg,THUỐC,0,17,,,,32937|316672|861007|6809|314076,prediction with no gold match
val:val_0070,missed_entity,CRP 85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,0,11,,,,,gold entity not in predictions
val:val_0070,false_positive,CRP,TÊN_XÉT_NGHIỆM,0,3,,,,,prediction with no gold match
val:val_0070,false_positive,85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,4,11,,,,,prediction with no gold match
val:val_0071,missed_entity,RBC 4.2 T/L,KẾT_QUẢ_XÉT_NGHIỆM,19,30,,,,,gold entity not in predictions
val:val_0071,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,5,17,,,,,gold entity not in predictions
val:val_0071,missed_entity,Hgb 95 g/L,KẾT_QUẢ_XÉT_NGHIỆM,32,42,,,,,gold entity not in predictions
val:val_0071,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,9,17,,,,,prediction with no gold match
val:val_0071,false_positive,4.2 ,KẾT_QUẢ_XÉT_NGHIỆM,23,27,,,,,prediction with no gold match
val:val_0071,false_positive,95 g/L,KẾT_QUẢ_XÉT_NGHIỆM,36,42,,,,,prediction with no gold match
val:val_0071,false_positive,Hgb,TÊN_XÉT_NGHIỆM,32,35,,,,,prediction with no gold match
val:val_0071,false_positive,RBC,TÊN_XÉT_NGHIỆM,19,22,,,,,prediction with no gold match
val:val_0071,false_positive,WBC,TÊN_XÉT_NGHIỆM,5,8,,,,,prediction with no gold match
val:val_0072,missed_entity,K+ 5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,0,13,,,,,gold entity not in predictions
val:val_0072,false_positive,5.8 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,3,13,,,,,prediction with no gold match
val:val_0072,false_positive,K,TÊN_XÉT_NGHIỆM,0,1,,,,,prediction with no gold match
val:val_0073,missed_entity,Na+ = 132 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,0,16,,,,,gold entity not in predictions
val:val_0073,false_positive,Na,TÊN_XÉT_NGHIỆM,0,2,,,,,prediction with no gold match
val:val_0073,false_positive,132 mmol/L,KẾT_QUẢ_XÉT_NGHIỆM,6,16,,,,,prediction with no gold match
val:val_0074,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,12,24,,,,,gold entity not in predictions
val:val_0074,false_positive,WBC,TÊN_XÉT_NGHIỆM,12,15,,,,,prediction with no gold match
val:val_0074,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,16,24,,,,,prediction with no gold match
val:val_0075,missed_entity,AST 72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,26,36,,,,,gold entity not in predictions
val:val_0075,missed_entity,ALT 85 U/L,KẾT_QUẢ_XÉT_NGHIỆM,14,24,,,,,gold entity not in predictions
val:val_0075,missed_entity,GGT 95 U/L,KẾT_QUẢ_XÉT_NGHIỆM,38,48,,,,,gold entity not in predictions
val:val_0075,false_positive,GGT,TÊN_XÉT_NGHIỆM,38,41,,,,,prediction with no gold match
val:val_0075,false_positive,72 U/L,KẾT_QUẢ_XÉT_NGHIỆM,30,36,,,,,prediction with no gold match
val:val_0075,false_positive,85 U/L,KẾT_QUẢ_XÉT_NGHIỆM,18,24,,,,,prediction with no gold match
val:val_0075,false_positive,95 U/L,KẾT_QUẢ_XÉT_NGHIỆM,42,48,,,,,prediction with no gold match
val:val_0075,false_positive,AST,TÊN_XÉT_NGHIỆM,26,29,,,,,prediction with no gold match
val:val_0075,false_positive,ALT,TÊN_XÉT_NGHIỆM,14,17,,,,,prediction with no gold match
val:val_0076,missed_entity,đau thượng vị,TRIỆU_CHỨNG,10,23,,,,,gold entity not in predictions
val:val_0076,false_positive,đau thượng vị,CHẨN_ĐOÁN,10,23,,,,M79.3|N39.0|I25.10|G43.909|K58.9,prediction with no gold match
val:val_0076,wrong_type,đau thượng vị,pred=CHẨN_ĐOÁN gold=TRIỆU_CHỨNG,10,23,,,,,type mismatch at same span
val:val_0077,missed_entity,WBC 12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,23,35,,,,,gold entity not in predictions
val:val_0077,missed_entity,ho,TRIỆU_CHỨNG,3,5,,,,,gold entity not in predictions
val:val_0077,missed_entity,sốt,TRIỆU_CHỨNG,7,10,,,,,gold entity not in predictions
val:val_0077,false_positive,12.5 G/L,KẾT_QUẢ_XÉT_NGHIỆM,27,35,,,,,prediction with no gold match
val:val_0077,false_positive,WBC,TÊN_XÉT_NGHIỆM,23,26,,,,,prediction with no gold match
val:val_0079,missed_entity,khó thở,TRIỆU_CHỨNG,16,23,,,,,gold entity not in predictions
val:val_0079,missed_entity,CRP 85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,37,48,,,,,gold entity not in predictions
val:val_0079,false_positive,85 mg/L,KẾT_QUẢ_XÉT_NGHIỆM,41,48,,,,,prediction with no gold match
val:val_0079,false_positive,CRP,TÊN_XÉT_NGHIỆM,37,40,,,,,prediction with no gold match
val:val_0081,missed_entity,ho đờm xanh,TRIỆU_CHỨNG,3,14,,,,,gold entity not in predictions
val:val_0081,missed_entity,sốt cao,TRIỆU_CHỨNG,16,23,,,,,gold entity not in predictions
val:val_0081,false_positive,ho đờm,TRIỆU_CHỨNG,3,9,,,,,prediction with no gold match
val:val_0085,false_positive,Viêm phổi cộng đồng,CHẨN_ĐOÁN,0,19,,,,J18.9|J44.9|K29.9|A09|K21.9,prediction with no gold match
val:val_0087,missed_entity,hypertension,CHẨN_ĐOÁN,12,24,,,,,gold entity not in predictions
val:val_0087,false_positive,hypertension,TRIỆU_CHỨNG,12,24,,,,,prediction with no gold match
val:val_0087,wrong_type,hypertension,pred=TRIỆU_CHỨNG gold=CHẨN_ĐOÁN,12,24,,,,,type mismatch at same span
val:val_0088,false_positive,Đau đầu,TRIỆU_CHỨNG,0,7,,,,,prediction with no gold match
val:val_0089,missed_entity,ho,TRIỆU_CHỨNG,16,18,isNegated,,,,gold entity not in predictions
val:val_0089,missed_entity,sốt,TRIỆU_CHỨNG,29,32,,,,,gold entity not in predictions
val:val_0091,false_positive,đường huyết,TÊN_XÉT_NGHIỆM,23,34,,,,,prediction with no gold match
val:val_0093,false_positive,WBC,TÊN_XÉT_NGHIỆM,0,3,,,,,prediction with no gold match
val:val_0094,missed_entity,ho,TRIỆU_CHỨNG,3,5,,,,,gold entity not in predictions
val:val_0096,false_positive,Glucose,TÊN_XÉT_NGHIỆM,0,7,,,,,prediction with no gold match
val:val_0099,false_positive,viêm phổi,CHẨN_ĐOÁN,18,27,,isNegated,,J18.9|J44.9|K29.9|J06.9|J20.9,prediction with no gold match
